Name,Code
Avibacterium spp.,AVBS
Bordetella avium,BORDAVI
Bordetella bronchiseptica,BORDBRO
Bordetella hinzii,BORDHIN
Clostridium perfringens ,CLOP
Clostridium sporogenes,CLOSPO
Corynebacterium amycolatum,CORAMY
Corynebacterium freneyi,CORFRE
Enterobacter cloacae,ENTBCLO
Enterobacter xiangfangensis,ENTBXIA
Enterococcus avium,ANTCAVI
Enterococcus avium,ENTCAVI
Enterococcus casseliflavus,ENTCCAS
Enterococcus cecorum,ENTCCEC
Enterococcus durans,ENTCDUR
Enterococcus faecalis,ENTCFAS
Enterococcus faecium,ENTCFAM
Enterococcus gallinarum,ENTCGAL
Enterococcus hirae,ENTCHIR
Escherichia coli,ESCOL
Escherichia coli beta- haemolytic,ESCOL-BH
Escherichia coli I,ESCOL - 1
Escherichia coli I,ESCOL-1
Escherichia coli II,ESCOL - 2
Escherichia coli II,ESCOL-2
Escherichia coli I,ESCOL I
Escherichia coli II,ESCOL II
Escherichia coli III,ESCOL-3
Escherichia coli III,ESCOL III
Gallibacterium anatis,GALL
Klebsiella oxytoca,KLEOXY
Klebsiella pneumoniae,KLEPN
Klebsiella variicola,KLEVAR
Lactobacillus johnsonii,LACBJOH
Ornithobacterium rhinotracheale,ORNRHI
Paeniclostridium sordellii,PAEB
Paeniclostridium sordellii,PAECLSOR
Pasteurella multocida,PASMUL
Pseudomonas aeruginosa,PSEAE
Riemerella anatipestifer,RIEANA
Staphylococcus aureus,STAAUE
Staphylococcus capitis,STACA
Staphylococcus chromogenes,STACHIR
Staphylococcus chromogenes,STACHR
Staphylococcus cohnii,STACOH
Staphylococcus hominis,STAHOM
Staphylococcus delphini,STADEL
Staphylococcus epidermidis,STAEPI
Staphylococcus haemolyticus,STAHAE
Staphylococcus hyicus,STAHYI
Staphylococcus lentus,STALEN
Staphylococcus sciuri,STASCI
Staphylococcus simulans,STASIM
Staphylococcus species,STA-
Staphylococcus ureilyticus,STAURE
Staphylococcus warneri,STAWAR
Staphylococcus xylosus,STAXYL
Streptococcus pluranimalium,STRPLUR
Streptococcus spp.,STR-
Staphylococcus condimenti,STACON
Escherichia fergusonii,ESCFER
